Time,Name,Type,MsgType,Text
2023-08-29 08:19:57.380,,System,Normal,CIM has been executed..
2023-08-29 08:19:57.870,,System,Normal,Start MasterPLC Thread..
2023-08-29 08:19:57.976,,System,Normal,MasterPLC connected..
2023-08-29 08:20:06.692,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 08:20:06.702,,Host,Normal,HSMS Connection Selected.
2023-08-29 08:33:33.355,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 08:33:33.357,,Host,Normal,HSMS Disconnected.
2023-08-29 08:33:47.359,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 08:33:47.365,,Host,Normal,HSMS Connection Selected.
2023-08-29 10:57:29.652,,System,Normal,CIM has been executed..
2023-08-29 10:57:30.194,,System,Normal,Start MasterPLC Thread..
2023-08-29 10:57:30.314,,System,Normal,MasterPLC connected..
2023-08-29 10:57:30.787,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 10:57:30.801,,Host,Normal,HSMS Connection Selected.
2023-08-29 10:57:46.903,eTrackStep,IP01,Normal,none
2023-08-29 11:05:29.273,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 11:05:29.276,,Host,Normal,HSMS Disconnected.
2023-08-29 11:06:43.540,eTrackStep,IP01,Normal,none
2023-08-29 11:06:43.708,eTrackStep,DEV01,Normal,none
2023-08-29 11:06:43.784,eTrackStep,RS01,Normal,none
2023-08-29 11:06:43.861,eTrackStep,RS02,Normal,none
2023-08-29 11:06:43.939,eTrackStep,RS03,Normal,none
2023-08-29 11:06:44.014,eTrackStep,RS04,Normal,none
2023-08-29 11:06:44.092,eTrackStep,RS05,Normal,none
2023-08-29 11:06:44.153,eTrackStep,AK01,Normal,none
2023-08-29 11:06:44.168,eTrackStep,BF01,Normal,none
2023-08-29 11:06:44.183,eTrackStep,LF01,Normal,none
2023-08-29 11:06:44.198,eTrackStep,UCV01,Normal,none
2023-08-29 11:06:44.213,eTrackStep,UCV02,Normal,none
2023-08-29 11:06:44.229,eTrackStep,UCV03,Normal,none
2023-08-29 11:06:44.244,eTrackStep,UCV04,Normal,none
2023-08-29 11:06:44.259,eTrackStep,UCV05,Normal,none
2023-08-29 11:06:44.275,eTrackStep,OP01,Normal,none
2023-08-29 11:08:33.812,eTrackStep,IP01,Normal,none
2023-08-29 11:08:33.980,eTrackStep,DEV01,Normal,none
2023-08-29 11:08:34.056,eTrackStep,RS01,Normal,none
2023-08-29 11:08:34.132,eTrackStep,RS02,Normal,none
2023-08-29 11:08:34.210,eTrackStep,RS03,Normal,none
2023-08-29 11:08:34.288,eTrackStep,RS04,Normal,none
2023-08-29 11:08:34.365,eTrackStep,RS05,Normal,none
2023-08-29 11:08:34.427,eTrackStep,AK01,Normal,none
2023-08-29 11:08:34.442,eTrackStep,BF01,Normal,none
2023-08-29 11:08:34.458,eTrackStep,LF01,Normal,none
2023-08-29 11:08:34.473,eTrackStep,UCV01,Normal,none
2023-08-29 11:08:34.489,eTrackStep,UCV02,Normal,none
2023-08-29 11:08:34.503,eTrackStep,UCV03,Normal,none
2023-08-29 11:08:34.518,eTrackStep,UCV04,Normal,none
2023-08-29 11:08:34.533,eTrackStep,UCV05,Normal,none
2023-08-29 11:08:34.549,eTrackStep,OP01,Normal,none
2023-08-29 11:10:28.366,eTrackStep,IP01,Normal,none
2023-08-29 11:10:28.535,eTrackStep,DEV01,Normal,none
2023-08-29 11:10:28.611,eTrackStep,RS01,Normal,none
2023-08-29 11:10:28.688,eTrackStep,RS02,Normal,none
2023-08-29 11:10:28.765,eTrackStep,RS03,Normal,none
2023-08-29 11:10:28.842,eTrackStep,RS04,Normal,none
2023-08-29 11:10:28.919,eTrackStep,RS05,Normal,none
2023-08-29 11:10:28.981,eTrackStep,AK01,Normal,none
2023-08-29 11:10:28.997,eTrackStep,BF01,Normal,none
2023-08-29 11:10:29.012,eTrackStep,LF01,Normal,none
2023-08-29 11:10:29.028,eTrackStep,UCV01,Normal,none
2023-08-29 11:10:29.043,eTrackStep,UCV02,Normal,none
2023-08-29 11:10:29.059,eTrackStep,UCV03,Normal,none
2023-08-29 11:10:29.074,eTrackStep,UCV04,Normal,none
2023-08-29 11:10:29.089,eTrackStep,UCV05,Normal,none
2023-08-29 11:10:29.105,eTrackStep,OP01,Normal,none
2023-08-29 12:48:16.946,,System,Normal,CIM has been executed..
2023-08-29 12:48:17.747,,System,Normal,Start MasterPLC Thread..
2023-08-29 12:48:17.863,,System,Normal,MasterPLC connected..
2023-08-29 12:48:19.254,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 12:48:19.270,,Host,Normal,HSMS Connection Selected.
2023-08-29 12:48:25.902,,System,Error,Invalid SubHeader!
2023-08-29 12:48:28.024,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 12:48:35.165,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 12:48:42.296,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 12:48:49.429,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 12:48:56.559,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 12:49:03.681,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 12:49:10.819,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 12:50:35.699,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 12:50:47.878,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 13:59:43.449,,System,Normal,CIM has been executed..
2023-08-29 13:59:43.994,,System,Normal,Start MasterPLC Thread..
2023-08-29 13:59:44.109,,System,Normal,MasterPLC connected..
2023-08-29 13:59:45.508,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 13:59:45.518,,Host,Normal,HSMS Connection Selected.
2023-08-29 13:59:50.260,,Host,Normal,Receive S1F13
2023-08-29 13:59:50.335,,Host,Normal,Receive S1F17.. OnLine command.. already OnlineRemote
2023-08-29 13:59:52.134,,System,Error,Invalid SubHeader!
2023-08-29 13:59:54.265,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 13:59:56.753,,Host,Normal,Receive S1F13
2023-08-29 13:59:56.829,,Host,Normal,Receive S1F17.. OnLine command.. already OnlineRemote
2023-08-29 14:00:04.872,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:00:57.532,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:01:24.220,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:02:28.508,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:09:30.562,,System,Normal,CIM has been executed..
2023-08-29 14:09:31.246,,System,Normal,Start MasterPLC Thread..
2023-08-29 14:09:31.684,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 14:09:31.698,,Host,Normal,HSMS Connection Selected.
2023-08-29 14:09:33.370,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:09:40.508,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:09:47.643,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:09:56.111,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:12:28.287,,System,Normal,CIM has been executed..
2023-08-29 14:12:29.204,,System,Normal,Start MasterPLC Thread..
2023-08-29 14:12:31.342,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:12:33.011,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 14:12:33.022,,Host,Normal,HSMS Connection Selected.
2023-08-29 14:12:38.474,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:12:45.605,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:15:52.883,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 14:15:52.884,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:15:52.884,,Host,Normal,HSMS Disconnected.
2023-08-29 14:16:00.009,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:16:07.143,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:16:07.541,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 14:16:07.545,,Host,Normal,HSMS Connection Selected.
2023-08-29 14:16:14.276,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:16:22.535,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:23:17.211,,System,Normal,CIM has been executed..
2023-08-29 14:23:17.908,,System,Normal,Start MasterPLC Thread..
2023-08-29 14:23:20.018,,System,Error,MasterPLC Connect fail. [대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다 127.0.0.1:8192]
2023-08-29 14:23:24.611,,Host,Normal,HSMS Connected NotSelected.
