Time,Name,Type,MsgType,Text
2023-08-26 10:12:40.142,,System,Normal,CIM has been executed..
2023-08-26 10:12:41.077,,System,Normal,Start MasterPLC Thread..
2023-08-26 10:12:41.189,,System,Normal,MasterPLC connected..
2023-08-26 10:16:57.483,,System,Normal,CIM has been executed..
2023-08-26 10:16:57.908,,System,Normal,Start MasterPLC Thread..
2023-08-26 10:16:58.011,,System,Normal,MasterPLC connected..
2023-08-26 10:22:23.404,,System,Normal,CIM has been executed..
2023-08-26 10:22:24.469,,System,Normal,Start MasterPLC Thread..
2023-08-26 10:22:24.581,,System,Normal,MasterPLC connected..
2023-08-26 10:42:49.980,,System,Normal,CIM has been executed..
2023-08-26 10:42:50.621,,System,Normal,Start MasterPLC Thread..
2023-08-26 10:42:50.727,,System,Normal,MasterPLC connected..
2023-08-26 10:43:30.789,,System,Normal,CIM Exit..
2023-08-26 10:44:17.007,,System,Normal,CIM has been executed..
2023-08-26 10:44:17.766,,System,Normal,Start MasterPLC Thread..
2023-08-26 10:44:17.882,,System,Normal,MasterPLC connected..
2023-08-26 10:44:41.680,,System,Normal,CIM Exit..
2023-08-26 10:45:06.746,,System,Normal,CIM has been executed..
2023-08-26 10:45:07.434,,System,Normal,Start MasterPLC Thread..
2023-08-26 10:45:07.538,,System,Normal,MasterPLC connected..
2023-08-26 10:48:50.727,,System,Normal,CIM has been executed..
2023-08-26 10:48:51.301,,System,Normal,Start MasterPLC Thread..
2023-08-26 10:48:51.410,,System,Normal,MasterPLC connected..
2023-08-26 10:50:01.742,,System,Normal,CIM Exit..
2023-08-26 10:54:37.686,,System,Normal,CIM has been executed..
2023-08-26 10:54:39.190,,System,Normal,Start MasterPLC Thread..
2023-08-26 10:54:39.304,,System,Normal,MasterPLC connected..
2023-08-26 10:54:58.668,,System,Error,수신 데이터 길이 이상! (예상=395. 실제=384)
2023-08-26 10:55:00.825,,System,Error,수신 데이터 길이 이상! (예상=395. 실제=384)
2023-08-26 10:55:15.921,,System,Error,수신 데이터 길이 이상! (예상=395. 실제=384)
2023-08-26 10:56:08.451,,System,Normal,CIM has been executed..
2023-08-26 10:56:09.279,,System,Normal,Start MasterPLC Thread..
2023-08-26 10:56:09.391,,System,Normal,MasterPLC connected..
2023-08-26 11:23:33.348,,System,Normal,CIM has been executed..
2023-08-26 11:23:34.232,,System,Normal,Start MasterPLC Thread..
2023-08-26 11:23:34.329,,System,Normal,MasterPLC connected..
2023-08-26 11:40:13.941,,System,Normal,CIM has been executed..
2023-08-26 11:40:14.837,,System,Normal,Start MasterPLC Thread..
2023-08-26 11:40:14.947,,System,Normal,MasterPLC connected..
