Time,Name,Type,MsgType,Text
2023-08-23 00:49:19.370,,Booth,Normal,Set Time. by host
2023-08-23 00:49:19.385,,Booth,Normal,I/F TimeSet Bit On. by host
2023-08-23 00:49:20.779,,Host,Normal,Receive S2F31.. TimeSet..
2023-08-23 00:49:20.920,,Booth,Normal,Set Time. by host
2023-08-23 00:49:20.935,,Booth,Normal,I/F TimeSet Bit On. by host
2023-08-23 00:49:36.169,,Host,Normal,Receive S2F31.. TimeSet..
2023-08-23 00:49:36.214,,Booth,Normal,Set Time. by host
2023-08-23 00:49:36.229,,Booth,Normal,I/F TimeSet Bit On. by host
2023-08-23 00:49:38.008,,Host,Normal,Receive S2F31.. TimeSet..
2023-08-23 00:49:38.143,,Booth,Normal,Set Time. by host
2023-08-23 00:49:38.159,,Booth,Normal,I/F TimeSet Bit On. by host
2023-08-23 00:49:39.757,,Host,Normal,Receive S2F31.. TimeSet..
2023-08-23 00:49:39.878,,Booth,Normal,Set Time. by host
2023-08-23 00:49:39.893,,Booth,Normal,I/F TimeSet Bit On. by host
2023-08-23 00:49:41.300,,Host,Normal,Receive S2F31.. TimeSet..
2023-08-23 00:49:41.440,,Booth,Normal,Set Time. by host
2023-08-23 00:49:41.455,,Booth,Normal,I/F TimeSet Bit On. by host
2023-08-23 00:49:42.828,,Host,Normal,Receive S2F31.. TimeSet..
2023-08-23 00:49:42.994,,Booth,Normal,Set Time. by host
2023-08-23 00:49:43.009,,Booth,Normal,I/F TimeSet Bit On. by host
2023-08-23 00:50:49.766,,System,Normal,CIM has been executed..
2023-08-23 00:50:50.109,,System,Normal,Start MasterPLC Thread..
2023-08-23 00:50:50.212,,System,Normal,MasterPLC connected..
2023-08-23 00:50:55.895,,Host,Normal,HSMS Connected NotSelected.
2023-08-23 00:50:55.906,,Host,Normal,HSMS Connection Selected.
2023-08-23 00:51:07.701,,Host,Normal,Receive S1F13
2023-08-23 00:51:07.777,,Host,Normal,Receive S1F17.. OnLine command.. already OnlineRemote
2023-08-23 00:53:00.001,,Host,Normal,Receive S2F31.. TimeSet..
2023-08-23 00:53:00.070,,Booth,Normal,Set Time. by host
2023-08-23 00:53:00.086,,Booth,Normal,I/F TimeSet Bit On. by host
2023-08-23 00:53:00.001,,Host,Normal,Receive S2F31.. TimeSet..
2023-08-23 00:53:00.044,,Booth,Normal,Set Time. by host
2023-08-23 00:53:00.059,,Booth,Normal,I/F TimeSet Bit On. by host
2023-08-23 00:53:00.001,,Host,Normal,Receive S2F31.. TimeSet..
2023-08-23 00:53:00.197,,Booth,Normal,Set Time. by host
2023-08-23 00:53:00.213,,Booth,Normal,I/F TimeSet Bit On. by host
2023-08-23 00:53:00.001,,Host,Normal,Receive S2F31.. TimeSet..
2023-08-23 00:53:00.151,,Booth,Normal,Set Time. by host
2023-08-23 00:53:00.167,,Booth,Normal,I/F TimeSet Bit On. by host
2023-08-23 00:53:00.001,,Host,Normal,Receive S2F31.. TimeSet..
2023-08-23 00:53:00.074,,Booth,Normal,Set Time. by host
2023-08-23 00:53:00.089,,Booth,Normal,I/F TimeSet Bit On. by host
2023-08-23 00:55:44.711,,System,Normal,CIM has been executed..
2023-08-23 00:55:45.406,,System,Normal,Start MasterPLC Thread..
2023-08-23 00:55:45.522,,System,Normal,MasterPLC connected..
2023-08-23 00:55:45.705,,Host,Normal,HSMS Connected NotSelected.
2023-08-23 00:55:45.727,,Host,Normal,HSMS Connection Selected.
2023-08-23 03:56:31.209,ReadXml,DB,Error,Xml load error. Message - 입력 문자열의 형식이 잘못되었습니다.
2023-08-23 03:56:31.408,,System,Normal,CIM has been executed..
2023-08-23 03:57:46.075,ReadXml,DB,Error,Xml load error. Message - 입력 문자열의 형식이 잘못되었습니다.
2023-08-23 03:57:46.364,,System,Normal,CIM has been executed..
2023-08-23 03:57:46.852,,System,Normal,Start MasterPLC Thread..
2023-08-23 03:57:46.966,,System,Normal,MasterPLC connected..
2023-08-23 03:59:30.784,ReadXml,DB,Error,Xml load error. Message - 입력 문자열의 형식이 잘못되었습니다.
2023-08-23 03:59:30.918,,System,Normal,CIM has been executed..
2023-08-23 04:02:20.409,ReadXml,DB,Error,Xml load error. Message - 입력 문자열의 형식이 잘못되었습니다.
2023-08-23 04:02:34.951,,System,Normal,CIM has been executed..
2023-08-23 04:04:49.198,ReadXml,DB,Error,Xml load error. Message - 입력 문자열의 형식이 잘못되었습니다.
2023-08-23 04:04:49.346,,System,Normal,CIM has been executed..
2023-08-23 04:06:15.314,ReadXml,DB,Error,Xml load error. Message - 입력 문자열의 형식이 잘못되었습니다.
2023-08-23 04:10:44.249,ReadXml,DB,Error,Xml load error. Message - 입력 문자열의 형식이 잘못되었습니다.
2023-08-23 04:10:48.237,,System,Normal,CIM has been executed..
2023-08-23 04:11:12.001,,System,Normal,Start MasterPLC Thread..
2023-08-23 04:11:12.105,,System,Normal,MasterPLC connected..
2023-08-23 04:14:05.699,ReadXml,DB,Error,Xml load error. Message - 입력 문자열의 형식이 잘못되었습니다.
2023-08-23 04:14:09.938,,System,Normal,CIM has been executed..
2023-08-23 04:14:10.299,,System,Normal,Start MasterPLC Thread..
2023-08-23 04:14:10.415,,System,Normal,MasterPLC connected..
2023-08-23 04:14:57.936,,Host,Normal,HSMS Connected NotSelected.
2023-08-23 04:14:57.952,,Host,Normal,HSMS Connection Selected.
2023-08-23 04:14:59.628,,Host,Normal,Receive S1F13
2023-08-23 04:14:59.698,,Host,Normal,Receive S1F17.. OnLine command.. already OnlineRemote
2023-08-23 04:19:54.297,,System,Normal,CIM has been executed..
2023-08-23 04:19:55.561,,System,Normal,Start MasterPLC Thread..
2023-08-23 04:19:55.666,,System,Normal,MasterPLC connected..
2023-08-23 04:20:04.080,,Host,Normal,HSMS Connected NotSelected.
2023-08-23 04:20:04.090,,Host,Normal,HSMS Connection Selected.
2023-08-23 04:20:24.479,,Host,Normal,Receive S1F13
2023-08-23 04:20:24.554,,Host,Normal,Receive S1F17.. OnLine command.. already OnlineRemote
2023-08-23 04:29:10.421,,Host,Normal,Receive S3F41 WorkOrder..
