Time,Name,Type,MsgType,Text
2023-08-29 02:17:35.626,,System,Normal,CIM has been executed..
2023-08-29 02:17:36.333,,System,Normal,Start MasterPLC Thread..
2023-08-29 02:17:36.438,,System,Normal,MasterPLC connected..
2023-08-29 02:18:57.482,,System,Normal,CIM has been executed..
2023-08-29 02:18:58.213,,System,Normal,Start MasterPLC Thread..
2023-08-29 02:18:58.316,,System,Normal,MasterPLC connected..
2023-08-29 02:19:38.691,,System,Normal,CIM has been executed..
2023-08-29 02:19:39.250,,System,Normal,Start MasterPLC Thread..
2023-08-29 02:19:39.357,,System,Normal,MasterPLC connected..
2023-08-29 02:37:33.563,,System,Normal,CIM has been executed..
2023-08-29 02:37:34.630,,System,Normal,Start MasterPLC Thread..
2023-08-29 02:37:50.340,,System,Normal,CIM has been executed..
2023-08-29 02:37:51.294,,System,Normal,Start MasterPLC Thread..
2023-08-29 02:37:51.399,,System,Normal,MasterPLC connected..
2023-08-29 02:46:48.710,,System,Normal,CIM has been executed..
2023-08-29 02:46:49.426,,System,Normal,Start MasterPLC Thread..
2023-08-29 02:46:49.529,,System,Normal,MasterPLC connected..
2023-08-29 02:47:25.624,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 02:47:25.639,,Host,Normal,HSMS Connection Selected.
2023-08-29 02:47:47.269,,Host,Normal,Receive S1F3..
2023-08-29 03:08:37.203,,System,Normal,CIM has been executed..
2023-08-29 03:08:37.756,,System,Normal,Start MasterPLC Thread..
2023-08-29 03:08:37.864,,System,Normal,MasterPLC connected..
2023-08-29 03:08:43.563,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 03:08:43.574,,Host,Normal,HSMS Connection Selected.
2023-08-29 03:13:37.260,,System,Normal,CIM has been executed..
2023-08-29 03:13:37.783,,System,Normal,Start MasterPLC Thread..
2023-08-29 03:13:37.897,,System,Normal,MasterPLC connected..
2023-08-29 03:13:45.828,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 03:13:45.838,,Host,Normal,HSMS Connection Selected.
2023-08-29 03:29:35.631,,System,Normal,CIM has been executed..
2023-08-29 03:29:36.188,,System,Normal,Start MasterPLC Thread..
2023-08-29 03:29:36.301,,System,Normal,MasterPLC connected..
2023-08-29 03:29:45.911,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 03:29:45.922,,Host,Normal,HSMS Connection Selected.
2023-08-29 04:35:43.022,,System,Normal,CIM has been executed..
2023-08-29 04:35:43.543,,System,Normal,Start MasterPLC Thread..
2023-08-29 04:35:43.660,,System,Normal,MasterPLC connected..
2023-08-29 04:35:43.983,,Host,Normal,HSMS Connected NotSelected.
2023-08-29 04:35:43.993,,Host,Normal,HSMS Connection Selected.
2023-08-29 04:43:59.179,,System,Normal,CIM has been executed..
2023-08-29 04:44:00.339,,System,Normal,Start MasterPLC Thread..
2023-08-29 04:44:00.448,,System,Normal,MasterPLC connected..
2023-08-29 04:44:05.670,RxGlassLocUnocc,TM01,Normal,True
2023-08-29 04:44:05.670,RxGlassLocUnocc,BF01,Normal,True
2023-08-29 04:44:05.671,RxGlassLocUnocc,USC01,Normal,True
2023-08-29 04:44:05.685,CheckGlassLocUnocc,TM01,Normal,Write[True]
2023-08-29 04:44:05.731,CheckGlassLocUnocc,BF01,Normal,Write[True]
2023-08-29 04:44:05.777,CheckGlassLocUnocc,USC01,Normal,Write[True]
2023-08-29 04:44:05.808,eTrackStep,TM01,Normal,moduleStart
2023-08-29 04:44:05.809,eTrackStep,BF01,Normal,moduleStart
2023-08-29 04:44:05.810,eTrackStep,USC01,Normal,moduleStart
2023-08-29 04:44:06.006,CheckGlassLocUnocc,TM01,Normal,Write[True]
2023-08-29 04:44:06.036,CheckGlassLocUnocc,BF01,Normal,Write[True]
